"Column Name","Data Type","Nullable","Default","Primary Key"
"POSTING_PERIOD","VARCHAR2(30)","Yes","",""
"LEDGER","NUMBER","Yes","",""
"COMPANY","NUMBER","Yes","",""
"DEPARTMENT","NUMBER","Yes","",""
"ACCOUNT","NUMBER","Yes","",""
"INTERCOMPANY","NUMBER","Yes","",""
"REGION","NUMBER","Yes","",""
"LINE_OF_BUSINESS","NUMBER","Yes","",""
"PROJECT","NUMBER","Yes","",""
"FUTURE","NUMBER","Yes","",""
"CURRENCY","VARCHAR2(3)","Yes","",""
"CURRENCY_TYPE","VARCHAR2(30)","Yes","",""
"PERIOD_NET","NUMBER","Yes","",""
"BEGINNING_BALANCE","NUMBER","Yes","",""
"ENDING_BALANCE","NUMBER","Yes","",""
"PERIOD_TO_DATE_DR","NUMBER","Yes","",""
"PERIOD_TO_DATE_CR","NUMBER","Yes","",""
"QUARTER_TO_DATE_DR","NUMBER","Yes","",""
"QUARTER_TO_DATE_CR","NUMBER","Yes","",""
"YEAR_TO_DATE_DR","NUMBER","Yes","",""
"YEAR_TO_DATE_CR","NUMBER","Yes","",""
"BEGINNING_BALANCE_DR","NUMBER","Yes","",""
"BEGINNING_BALANCE_CR","NUMBER","Yes","",""
"ENDING_BALANCE_DR","NUMBER","Yes","",""
"ENDING_BALANCE_CR","NUMBER","Yes","",""
